epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1583.98,1.1096,0.43014,0.0687,0.94333,0.9556,0.73425,0.81196,0.84088,0.62951,0.7333,0.8109,0.84021,0.82785,0.91279,0.17672,0.00778,0.84841,0.91312,0.008284,0.008284,0.008284
28,1642.42,1.09629,0.41262,0.06872,0.93869,0.95672,0.71733,0.79281,0.82284,0.59776,0.71829,0.79387,0.81984,0.81061,0.95472,0.19202,0.01325,0.85467,0.93259,0.008218,0.008218,0.008218
29,1701.07,1.098,0.42345,0.07114,0.92675,0.95573,0.75194,0.80761,0.84075,0.63769,0.75194,0.80761,0.83839,0.82687,0.86763,0.17665,0.01164,0.79906,0.91073,0.008152,0.008152,0.008152
30,1759.19,1.09231,0.40195,0.07019,0.92327,0.95459,0.73942,0.81588,0.84274,0.63016,0.74134,0.818,0.84396,0.82745,0.89487,0.18551,0.01381,0.80636,0.91229,0.008086,0.008086,0.008086
31,1817.82,1.09361,0.39103,0.06874,0.92098,0.95772,0.70968,0.8129,0.82816,0.63222,0.70968,0.8129,0.82564,0.81766,0.86526,0.17297,0.00771,0.91813,0.90895,0.00802,0.00802,0.00802
32,1875.98,1.08744,0.41128,0.06499,0.9071,0.9549,0.7656,0.80444,0.86408,0.63698,0.76438,0.80444,0.86233,0.8536,0.91237,0.1512,0.00954,0.77957,0.91677,0.007954,0.007954,0.007954
33,1934.36,1.06587,0.38852,0.06223,0.90099,0.94433,0.72275,0.80739,0.83485,0.62349,0.72363,0.81078,0.83547,0.82185,0.91637,0.19037,0.01145,0.80748,0.92188,0.007888,0.007888,0.007888
34,1992.42,1.04994,0.34273,0.0622,0.88391,0.94221,0.76753,0.78179,0.8519,0.62994,0.76857,0.78284,0.85139,0.83794,0.91234,0.16901,0.00945,0.7896,0.91382,0.007822,0.007822,0.007822
35,2050.52,1.05115,0.37155,0.06287,0.88903,0.94533,0.73179,0.83929,0.85652,0.64925,0.73087,0.83823,0.85704,0.84606,0.89048,0.15492,0.0091,0.82434,0.91304,0.007756,0.007756,0.007756
36,2108.65,1.04824,0.37232,0.06063,0.88347,0.94464,0.74372,0.80444,0.86237,0.65504,0.74589,0.79704,0.86078,0.85396,0.88193,0.1562,0.01086,0.78009,0.91092,0.00769,0.00769,0.00769
37,2167.04,1.06736,0.38492,0.0606,0.89546,0.94315,0.73213,0.81186,0.84074,0.64418,0.73823,0.81078,0.84131,0.83294,0.86992,0.15588,0.009,0.79628,0.91147,0.007624,0.007624,0.007624
