epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1551.95,1.26557,0.61188,0.11826,1.04433,1.08905,0.70561,0.75581,0.78926,0.53686,0.69288,0.76216,0.78751,0.76677,1.09771,0.27787,0.01611,0.94452,1.04728,0.008284,0.008284,0.008284
28,1609.7,1.24327,0.61139,0.11546,1.02351,1.08252,0.67656,0.78053,0.78663,0.55244,0.68312,0.78013,0.78742,0.77073,1.04756,0.24634,0.0203,0.88045,1.01791,0.008218,0.008218,0.008218
29,1667.73,1.26889,0.60919,0.11969,1.01765,1.08945,0.68625,0.80924,0.80919,0.57582,0.68715,0.8103,0.80954,0.79232,0.98522,0.24031,0.01791,0.89876,1.01305,0.008152,0.008152,0.008152
30,1725.22,1.24877,0.58552,0.11445,1.01387,1.0818,0.71909,0.79915,0.81859,0.56565,0.71305,0.79704,0.81339,0.79724,1.04798,0.27881,0.01712,0.89838,1.02229,0.008086,0.008086,0.008086
31,1782.86,1.24025,0.59006,0.1102,1.00866,1.07974,0.70216,0.79175,0.81546,0.5838,0.70216,0.79175,0.81507,0.79718,0.99386,0.22992,0.01747,0.86447,1.00496,0.00802,0.00802,0.00802
32,1840.26,1.23172,0.58537,0.10427,1.00025,1.07003,0.72574,0.77203,0.80663,0.56254,0.72673,0.77309,0.80427,0.79051,1.01284,0.23545,0.01433,0.86988,1.01873,0.007954,0.007954,0.007954
33,1897.85,1.2097,0.54736,0.09729,0.98557,1.06289,0.71615,0.79598,0.82542,0.58371,0.73807,0.78118,0.82534,0.80721,1.02495,0.25648,0.0143,0.84353,1.01668,0.007888,0.007888,0.007888
34,1955.2,1.18633,0.52972,0.09525,0.97461,1.05563,0.72231,0.78638,0.82866,0.59317,0.72411,0.78753,0.83145,0.81673,0.97794,0.22453,0.01396,0.86618,0.99988,0.007822,0.007822,0.007822
35,2012.31,1.21106,0.56044,0.10004,0.98551,1.07057,0.68317,0.80232,0.80718,0.57402,0.68227,0.80126,0.8044,0.78965,1.00187,0.25464,0.01382,0.87045,1.01224,0.007756,0.007756,0.007756
36,2069.86,1.19105,0.53436,0.09244,0.97056,1.05242,0.71229,0.78541,0.82662,0.58584,0.71229,0.78541,0.82452,0.81096,1.00425,0.21644,0.01288,0.89771,0.9996,0.00769,0.00769,0.00769
37,2126.92,1.19688,0.55422,0.09479,0.96954,1.0548,0.69458,0.8055,0.81777,0.58841,0.69751,0.80021,0.81574,0.80053,0.98063,0.24088,0.01333,0.8491,0.99385,0.007624,0.007624,0.007624
38,2184.36,1.17794,0.53173,0.08868,0.95509,1.04795,0.70034,0.77696,0.80126,0.57587,0.69748,0.77378,0.79535,0.78427,0.97609,0.22464,0.01524,0.86873,0.99732,0.007558,0.007558,0.007558
39,2242.16,1.20345,0.53662,0.09231,0.96891,1.05519,0.72813,0.78989,0.83033,0.5936,0.72813,0.78989,0.82877,0.80874,0.97592,0.23849,0.01034,0.84947,0.99411,0.007492,0.007492,0.007492
40,2299.21,1.17477,0.53383,0.08914,0.96503,1.05103,0.72932,0.7907,0.81381,0.58058,0.73005,0.7907,0.81308,0.79962,0.99165,0.21198,0.01154,0.84822,0.9914,0.007426,0.007426,0.007426
41,2355.88,1.16813,0.51379,0.08898,0.961,1.04797,0.72404,0.7907,0.82368,0.59199,0.72714,0.79175,0.82339,0.80506,0.9577,0.2391,0.01135,0.87519,0.9926,0.00736,0.00736,0.00736
42,2413.53,1.17054,0.49793,0.08228,0.94402,1.04288,0.70883,0.8129,0.82536,0.60119,0.70698,0.81078,0.82406,0.80933,0.94374,0.2051,0.01311,0.82029,0.98704,0.007294,0.007294,0.007294
43,2471.09,1.16035,0.49815,0.08664,0.95026,1.04584,0.70505,0.81078,0.82371,0.59727,0.70533,0.80211,0.81924,0.80604,0.95439,0.21313,0.01547,0.87955,0.98191,0.007228,0.007228,0.007228
44,2528.48,1.14921,0.48282,0.07753,0.93109,1.03086,0.71545,0.81328,0.82455,0.60281,0.72069,0.8055,0.82601,0.81296,0.92985,0.18405,0.01023,0.80878,0.9768,0.007162,0.007162,0.007162
45,2585.7,1.15416,0.49929,0.08217,0.95017,1.03491,0.7411,0.77907,0.8424,0.61138,0.73909,0.77696,0.83821,0.82539,0.93505,0.19932,0.0116,0.78636,0.97661,0.007096,0.007096,0.007096
46,2643.36,1.15882,0.48709,0.07788,0.93631,1.03699,0.72166,0.81675,0.82285,0.59479,0.72166,0.81675,0.82609,0.81113,0.97075,0.20519,0.01268,0.82094,0.98918,0.00703,0.00703,0.00703
47,2700.9,1.15652,0.48466,0.07949,0.93468,1.04175,0.73328,0.79387,0.84426,0.61318,0.74786,0.7807,0.84417,0.82922,0.9426,0.18921,0.00758,0.80233,0.98144,0.006964,0.006964,0.006964
48,2758.86,1.14926,0.48702,0.07705,0.92731,1.04126,0.77458,0.78647,0.84776,0.6163,0.77613,0.78541,0.84899,0.83098,0.94418,0.20711,0.01004,0.7922,0.97566,0.006898,0.006898,0.006898
49,2816.81,1.12735,0.46113,0.07316,0.91507,1.02464,0.73052,0.83298,0.84175,0.61382,0.73145,0.83404,0.84317,0.83136,0.93432,0.1797,0.00926,0.78793,0.98262,0.006832,0.006832,0.006832
50,2874.16,1.14657,0.46011,0.07679,0.92898,1.02793,0.7396,0.80973,0.84888,0.61804,0.7396,0.80973,0.8463,0.83424,0.94671,0.18277,0.00945,0.78574,0.97455,0.006766,0.006766,0.006766
51,2931.78,1.12808,0.4657,0.07794,0.92592,1.02833,0.74763,0.80127,0.847,0.62052,0.74814,0.80021,0.84896,0.83348,0.91853,0.19357,0.01065,0.78561,0.977,0.0067,0.0067,0.0067
52,2989.33,1.13441,0.47613,0.07479,0.9124,1.03033,0.69179,0.83045,0.82507,0.60563,0.69282,0.83087,0.82819,0.81396,0.94687,0.19781,0.00747,0.80192,0.97982,0.006634,0.006634,0.006634
53,3046.29,1.14289,0.47955,0.07352,0.92922,1.02858,0.70574,0.81607,0.82607,0.60045,0.707,0.81501,0.82311,0.8098,0.96734,0.2107,0.01043,0.82673,0.99038,0.006568,0.006568,0.006568
