epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.0113,1.97813,4.25453,0.54302,2.14884,1.37844,0.53549,0.71353,0.6047,0.30512,0.5452,0.72229,0.61453,0.42566,1.58737,1.5367,0.35797,1.34468,1.06784,0.0702521,0.00330532,0.00330532
2,119.531,1.53624,1.53538,0.33562,1.32032,1.07782,0.59518,0.65011,0.62563,0.26766,0.58814,0.66269,0.62342,0.5327,1.73459,0.93411,0.17843,1.6321,1.14629,0.0402083,0.00659484,0.00659484
3,178.256,1.53487,1.1855,0.2647,1.31122,1.0786,0.58846,0.68288,0.64964,0.3668,0.58937,0.68393,0.65698,0.57618,1.42746,0.7628,0.121,1.26323,1.0668,0.0101205,0.00984036,0.00984036
4,236.397,1.51565,1.07608,0.22934,1.33615,1.0722,0.53519,0.59091,0.55432,0.27403,0.55325,0.59514,0.57235,0.53369,1.55488,0.59003,0.07303,1.94665,1.12068,0.009802,0.009802,0.009802
5,295.165,1.43958,0.90533,0.19774,1.24771,1.05365,0.62994,0.76321,0.74246,0.44361,0.65058,0.74207,0.74306,0.70139,1.25978,0.43477,0.05259,1.08411,1.01633,0.009736,0.009736,0.009736
