epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8974,2.14159,4.75505,0.56924,2.25705,1.46629,0.52132,0.63434,0.56743,0.31214,0.51113,0.62262,0.55541,0.21209,1.46816,3.36805,0.40874,1.43763,1.08363,0.0702521,0.00330532,0.00330532
2,118.174,1.68079,2.4632,0.39716,1.44984,1.14961,0.54988,0.61468,0.59865,0.31359,0.54356,0.61809,0.59221,0.45682,1.47448,1.12143,0.26745,1.43115,1.10041,0.0402083,0.00659484,0.00659484
3,176.194,1.67274,1.51232,0.31575,1.42167,1.1427,0.51567,0.54545,0.49428,0.24602,0.51168,0.54123,0.4865,0.39388,1.58591,1.20462,0.16922,1.46564,1.17119,0.0101205,0.00984036,0.00984036
4,234.499,1.60731,1.3668,0.27162,1.40046,1.11242,0.57914,0.66596,0.63047,0.35805,0.59026,0.67309,0.63879,0.5754,1.31968,0.69598,0.10631,1.34169,1.04471,0.009802,0.009802,0.009802
5,292.569,1.52654,1.12961,0.23979,1.31715,1.09205,0.65648,0.71142,0.71854,0.45032,0.6475,0.71564,0.71778,0.58371,1.2569,0.75411,0.07149,1.16988,1.04201,0.009736,0.009736,0.009736
6,350.726,1.43937,1.00991,0.22041,1.26087,1.05846,0.63955,0.72622,0.71905,0.46731,0.63986,0.73044,0.71683,0.66639,1.18053,0.55105,0.06693,1.1207,1.00182,0.00967,0.00967,0.00967
7,408.611,1.41206,0.90968,0.19832,1.22017,1.05676,0.69725,0.68653,0.72582,0.45828,0.70047,0.6897,0.72577,0.68389,1.22807,0.52991,0.05475,1.13905,1.02127,0.009604,0.009604,0.009604
8,467.083,1.37448,0.84016,0.1938,1.20014,1.04092,0.65639,0.70296,0.72032,0.45535,0.65047,0.69662,0.70949,0.67256,1.21537,0.52577,0.04708,1.11536,1.01991,0.009538,0.009538,0.009538
9,525.51,1.35876,0.81416,0.17018,1.18314,1.03355,0.68411,0.71426,0.74393,0.46506,0.68027,0.70848,0.73289,0.69934,1.2208,0.55146,0.04023,1.06369,1.02297,0.009472,0.009472,0.009472
10,583.429,1.35137,0.74706,0.16251,1.15271,1.03119,0.68197,0.7611,0.77614,0.53852,0.68423,0.76216,0.77213,0.74878,1.07615,0.38309,0.0334,1.06235,0.96648,0.009406,0.009406,0.009406
11,641.314,1.31161,0.75305,0.1529,1.12194,1.01707,0.64626,0.77055,0.75966,0.51749,0.64806,0.75264,0.74978,0.72072,1.11041,0.40743,0.02879,1.05696,0.97631,0.00934,0.00934,0.00934
12,699.222,1.2997,0.71175,0.14188,1.11407,1.02099,0.68826,0.69548,0.73601,0.5013,0.68931,0.69654,0.73503,0.70827,1.10606,0.36591,0.03156,1.00431,0.9742,0.009274,0.009274,0.009274
13,757.641,1.29377,0.67104,0.13652,1.10679,1.01311,0.69647,0.78103,0.78466,0.52015,0.69489,0.78224,0.78316,0.75672,1.12199,0.33652,0.02719,1.02559,0.97176,0.009208,0.009208,0.009208
14,815.942,1.26179,0.63869,0.13412,1.08433,1.00718,0.7125,0.75159,0.79507,0.53109,0.71175,0.75159,0.79341,0.77209,1.15607,0.3368,0.03403,0.94986,0.99659,0.009142,0.009142,0.009142
15,873.912,1.25433,0.63626,0.1289,1.07266,1.00059,0.6947,0.75264,0.78868,0.5459,0.69434,0.75159,0.78594,0.71841,1.04149,0.40972,0.02111,0.96144,0.94871,0.009076,0.009076,0.009076
16,932.029,1.23945,0.61248,0.12735,1.07982,1.00198,0.71702,0.71459,0.78439,0.54937,0.71808,0.71564,0.78275,0.76723,1.04442,0.25816,0.02093,0.93831,0.95239,0.00901,0.00901,0.00901
17,990.415,1.23787,0.63807,0.12514,1.06042,0.99498,0.68668,0.80761,0.80915,0.57064,0.68238,0.80127,0.80009,0.78407,1.02273,0.27572,0.02241,0.90048,0.95062,0.008944,0.008944,0.008944
18,1049.08,1.21391,0.58257,0.1244,1.05404,0.99824,0.63809,0.78541,0.73581,0.50195,0.63913,0.7833,0.73575,0.70939,1.11418,0.3624,0.02235,1.13383,0.98284,0.008878,0.008878,0.008878
19,1107.36,1.23138,0.59395,0.1211,1.06502,0.9961,0.65479,0.79402,0.79267,0.57583,0.68792,0.74207,0.78853,0.76923,0.97285,0.27846,0.02202,0.95912,0.94357,0.008812,0.008812,0.008812
20,1165.53,1.21899,0.57236,0.11365,1.04515,0.99038,0.68558,0.77061,0.79245,0.57519,0.69235,0.76125,0.79133,0.77518,0.98063,0.24725,0.01605,0.94592,0.94622,0.008746,0.008746,0.008746
21,1223.83,1.19944,0.55341,0.11636,1.02155,0.98868,0.7085,0.75538,0.78771,0.55956,0.71471,0.7463,0.78622,0.76811,1.02799,0.28408,0.02498,0.92822,0.94759,0.00868,0.00868,0.00868
22,1282.06,1.19968,0.52365,0.11351,1.02328,0.98793,0.71554,0.70719,0.79113,0.56213,0.71875,0.71036,0.79154,0.77773,1.03062,0.2248,0.01662,0.97318,0.9528,0.008614,0.008614,0.008614
23,1340.21,1.18212,0.52567,0.11111,1.01323,0.98274,0.72728,0.78541,0.82999,0.58877,0.72953,0.7833,0.82341,0.80419,1.01328,0.25831,0.02079,0.87815,0.94034,0.008548,0.008548,0.008548
24,1398.78,1.18056,0.52317,0.11214,1.01357,0.98321,0.70352,0.7981,0.8238,0.59339,0.71031,0.79493,0.8236,0.80609,1.00672,0.25523,0.01774,0.8688,0.94296,0.008482,0.008482,0.008482
25,1457.27,1.17528,0.50297,0.10688,0.99666,0.98333,0.71043,0.74433,0.80474,0.55701,0.71043,0.74433,0.80124,0.78562,1.07114,0.27527,0.01466,0.93019,0.96437,0.008416,0.008416,0.008416
26,1515.15,1.18073,0.52292,0.1081,0.99856,0.98098,0.72847,0.78118,0.8137,0.57226,0.72844,0.78261,0.80884,0.79306,1.02548,0.24876,0.02054,0.88071,0.95404,0.00835,0.00835,0.00835
27,1573.3,1.17266,0.5384,0.10284,1.006,0.97818,0.7135,0.77396,0.81149,0.57829,0.71499,0.77966,0.81246,0.79556,1.01795,0.25142,0.0133,0.87577,0.94051,0.008284,0.008284,0.008284
28,1631.45,1.16456,0.50288,0.10161,1.00829,0.97565,0.72476,0.77378,0.81571,0.5958,0.72674,0.7759,0.8134,0.80012,0.97086,0.20836,0.01242,0.87999,0.93501,0.008218,0.008218,0.008218
